PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,124814406.53607865,124814406.53607865
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,1031272928.2804271,1031272928.2804271
2020,GenVariableOMCostsInTP,timepoint,10685441.388573037,10685441.388573037
2020,LocalTDFixedCosts,annual,262114721.18175453,262114721.18175453
2020,TotalGenFixedCosts,annual,472474903.1223,472474903.1223
2020,TxFixedCosts,annual,13682783.982670683,13682783.982670683
2025,CogenFixedCost,annual,103778937.20460905,132451144.13008785
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,801170562.5555949,1022519217.4074589
2025,GenVariableOMCostsInTP,timepoint,8424483.673603015,10752013.1862018
2025,LocalTDFixedCosts,annual,205373742.6624891,262114721.18175453
2025,TotalGenFixedCosts,annual,391862818.99527067,500127290.91293883
2025,TxFixedCosts,annual,10720819.280557992,13682783.982670683
2030,CogenFixedCost,annual,82172308.20253249,133850031.30100511
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,635002578.439096,1034352288.0092647
2030,GenVariableOMCostsInTP,timepoint,6679270.440595541,10879827.731479475
2030,LocalTDFixedCosts,annual,160915701.28161985,262114721.18175453
2030,TotalGenFixedCosts,annual,304563680.5341436,496102142.733628
2030,TxFixedCosts,annual,8400042.432296745,13682783.982670683
2035,CogenFixedCost,annual,71990098.75293253,149662244.93607867
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.8027447,784221085.4870777
2035,GenVariableOMCostsInTP,timepoint,4005193.86103051,8326510.381701748
2035,LocalTDFixedCosts,annual,126081662.54977128,262114721.18175453
2035,TotalGenFixedCosts,annual,393139881.9845629,817309579.1081675
2035,TxFixedCosts,annual,6581653.045149858,13682783.982670683
