BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
G106344,2020,0.0
G106344,2025,0.0
G106344,2030,0.0
G106344,2035,0.0
G106345,2020,0.0
G106345,2025,0.0
G106345,2030,0.0
G106345,2035,0.0
G106346,2020,94.04529115193529
G106346,2025,94.04529115193529
G106346,2030,0.0
G106346,2035,0.0
G106347,2020,485.76
G106347,2025,485.7600000000001
G106347,2030,0.0
G106347,2035,0.0
G106348,2020,0.0
G106348,2025,0.0
G106348,2030,0.0
G106348,2035,0.0
G106349,2020,242.88000000000005
G106349,2025,242.88
G106349,2030,0.0
G106349,2035,0.0
G106470,2020,283.36
G106470,2025,283.36
G106470,2030,0.0
G106470,2035,0.0
G106471,2020,283.36
G106471,2025,283.36
G106471,2030,0.0
G106471,2035,0.0
G109041,2020,242.88000000000002
G109041,2025,242.88
G109041,2030,-3.5188992562598785e-13
G109041,2035,0.0
G109042,2020,242.88000000000002
G109042,2025,242.88
G109042,2030,0.0
G109042,2035,0.0
G111092,2025,0.0
G111092,2030,0.0
G111092,2035,0.0
G111093,2025,0.0
G111093,2030,0.0
G111093,2035,0.0
G112778,2020,0.0
G112778,2025,0.0
G112778,2030,0.0
G112778,2035,0.0
G112779,2020,0.0
G112779,2025,0.0
G112779,2030,0.0
G112779,2035,0.0
G114088,2020,0.0
G114088,2025,0.0
G114088,2030,0.0
G114088,2035,0.0
G114089,2020,0.0
G114089,2025,0.0
G114089,2030,0.0
G114089,2035,0.0
G114090,2020,0.0
G114090,2025,0.0
G114090,2030,0.0
G114090,2035,0.0
outside_coal,2020,0.0
outside_coal,2025,0.0
outside_coal,2030,0.0
outside_coal,2035,0.0
