PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,84197237.02900489,84197237.02900489
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,706042878.5970037,706042878.5970037
2020,GenVariableOMCostsInTP,timepoint,7512028.416602702,7512028.416602702
2020,LocalTDFixedCosts,annual,197216076.3446901,197216076.3446901
2020,TotalGenFixedCosts,annual,4441932028.25057,4441932028.25057
2020,TxFixedCosts,annual,37317.8777229767,37317.8777229767
2025,CogenFixedCost,annual,65970738.35657237,84197237.02900489
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,553203070.0294658,706042878.5970037
2025,GenVariableOMCostsInTP,timepoint,5885870.827662842,7512028.416602702
2025,LocalTDFixedCosts,annual,154523956.26430595,197216076.3446901
2025,TotalGenFixedCosts,annual,3651299597.14864,4660086355.004488
2025,TxFixedCosts,annual,29239.533673022634,37317.8777229767
2030,CogenFixedCost,annual,51689799.723618865,84197237.02900489
2030,EmissionsCosts,annual,-0.0,-0.0
2030,FuelCostsPerTP,timepoint,-8.01214288280857e-08,-1.3050936490780006e-07
2030,GenVariableOMCostsInTP,timepoint,-8.654291297049651e-10,-1.4096928592330957e-09
2030,LocalTDFixedCosts,annual,121073563.07931145,197216076.3446901
2030,TotalGenFixedCosts,annual,3255831507.043794,5303406447.516338
2030,TxFixedCosts,annual,22909.939728148842,37317.8777229767
2035,CogenFixedCost,annual,40500310.6229695,84197237.02900489
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,0.0,0.0
2035,GenVariableOMCostsInTP,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,94864304.74021004,197216076.3446901
2035,TotalGenFixedCosts,annual,2551029179.3812494,5303406447.516338
2035,TxFixedCosts,annual,17950.53724921991,37317.8777229767
