timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
20200100,0,0,0,0,0,1.84884,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,356.054,0.67592,0,0,0,0,0
20200101,0,0,0,0,0,1.07352,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,121.867,0.32802,0,0,0,0,0
20200102,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,425.336,0.70574,0,0,0,0,0
20200103,0,0,0,0,1.988,1.43136,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,130.871,0.45724,0,0,0,0,0
20200104,0,0,0,0,0.87472,0.41748,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,28.9891,0.16898,0,0,0,0,0
20200105,0,0,0,0,0.1988,0.1491,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,32.7182,0.12922,0,0,0,0,0
20200106,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,395.811,0,0,0,0,0,0
20200107,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,432.771,0.86478,0,0,0,0,0
20200108,0,0,0,0,3.1808,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,405.255,0,0,0,0,0,0
20200109,0,0,0,0,0,2.56452,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,226.555,0,0,0,0,0,0
202001010,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,212.54,0.86478,0,0,0,0,0
202001011,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,266.107,0.86478,0,0,0,0,0
202001012,0,0,0,0,0,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,523.491,0,0,0,0,0,0
