gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
1,inside_lvliang,Coal,2020,2129.08608,972992.3385600001,1982934.540221184,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,inside_lvliang,Coal,2030,-3.0846670880374093e-12,-1.409692859233096e-09,-2.872919498845663e-09,300.0,84817811.46596469,8676900.0,-3.030949817195665e+16,-1.1729664187532928e-15
1,inside_lvliang,Coal,2035,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
2,inside_lvliang,Coal,2020,2129.08608,972992.3385600001,1982934.540221184,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,inside_lvliang,Coal,2030,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
2,inside_lvliang,Coal,2035,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
3,inside_lvliang,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,inside_lvliang,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
