generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2020,12.73609218,0.0,0.0,4.0,498237.2053223575,178560.0,53.14009947141867,0.3632241666666667
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2025,17.426808,0.0,0.0,4.0,498237.2053223575,178560.0,38.83655603036181,0.49700000000000005
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2030,27.8828928,0.0,0.0,4.0,498237.2053223575,178560.0,24.272847518976132,0.7952
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2035,27.8828928,0.0,0.0,4.0,498237.2053223575,178560.0,24.272847518976132,0.7952
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2020,11.164048874999999,0.0,0.0,3.0,374971.48499956884,133920.0,45.583057786422394,0.4245208333333333
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2025,11.24029116,0.0,0.0,3.0,374971.48499956884,133920.0,45.27387037895634,0.4274200000000001
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2030,22.48058232,0.0,0.0,3.0,374971.48499956884,133920.0,22.63693518947817,0.8548400000000002
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2035,22.48058232,0.0,0.0,3.0,374971.48499956884,133920.0,22.63693518947817,0.8548400000000002
G106344,G106344,7,inside_lvliang,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106346,G106346,9,inside_lvliang,Coal,2020,824.4010222378648,376751.2671627042,794431.9016368606,600.0,169635622.93192938,17353800.0,227.27552385910462,0.15674215191989216
G106346,G106346,9,inside_lvliang,Coal,2025,824.4010222378648,376751.2671627042,794431.9016368606,600.0,169635622.93192938,17353800.0,227.27552385910462,0.15674215191989216
G106346,G106346,9,inside_lvliang,Coal,2030,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
G106346,G106346,9,inside_lvliang,Coal,2035,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
G106347,G106347,10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106347,G106347,10,inside_lvliang,Coal,2025,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,169635622.93192938,17353800.0,44.37007253578243,0.8096000000000002
G106347,G106347,10,inside_lvliang,Coal,2030,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
G106347,G106347,10,inside_lvliang,Coal,2035,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
G106348,G106348,5,inside_lvliang,Coal,2020,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
G106348,G106348,5,inside_lvliang,Coal,2025,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
G106348,G106348,5,inside_lvliang,Coal,2030,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
G106348,G106348,5,inside_lvliang,Coal,2035,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
